figi,isin,name,ticker,exchCode,marketSector,error
BBG01PQDYC39,,CFOUR 8X A,CFOUR 8X A,,Mtge,
BBG01PJDG1Z6,,CONTE 13X A1,CONTE 13X A1,,Mtge,
BBG01PKN5WZ6,,JUBIL 2024-29X A,JUBIL 2024-29X A,,Mtge,
BBG01QQY2BX5,,BALLY 2024-28A A1A,BALLY 2024-28A A1A,,Mtge,
BBG01QXZLP44,,BCC 2024-6A A1,BCC 2024-6A A1,,Mtge,
BBG01Q5S8DM3,,NEUB 2024-58A A,NEUB 2024-58A A,,Mtge,
BBG01W27W6Q3,,TRNTS 2025-32A A1,TRNTS 2025-32A A1,,Mtge,
BBG01WJ6X0Z9,,ACLO 7X AR,ACLO 7X AR,,Mtge,
BBG01R0J65W4,,AQUE 2024-10X A,AQUE 2024-10X A,,Mtge,
BBG01QDYZ0L0,,BCCE 2024-3X A1,BCCE 2024-3X A1,,Mtge,
BBG01QYBZP23,,BECLO 15X A,BECLO 15X A,,Mtge,
BBG01WT09CX4,,BRGPT 9X A,BRGPT 9X A,,Mtge,
BBG01PQDYC39,,CFOUR 8X A,CFOUR 8X A,,Mtge,
BBG01WJ9CL35,,CGMSE 2013-1X A1R3,CGMSE 2013-1X A1R3,,Mtge,
BBG01PJDG1Z6,,CONTE 13X A1,CONTE 13X A1,,Mtge,
BBG01Q51G9K4,,CORDA 33X A1,CORDA 33X A1,,Mtge,
BBG01Q8VB804,,CRNCL 2024-19X A,CRNCL 2024-19X A,,Mtge,
BBG01QB2GCJ0,,HNLY 12X A1,HNLY 12X A1,,Mtge,
BBG01PKN5WZ6,,JUBIL 2024-29X A,JUBIL 2024-29X A,,Mtge,
BBG01Q5S2ML0,,OCPE 2024-11X A,OCPE 2024-11X A,,Mtge,
BBG01QRHR2H2,,PENTA 2024-18X A,PENTA 2024-18X A,,Mtge,
BBG01QYG4RJ4,,PRVD 11X A,PRVD 11X A,,Mtge,
BBG01WYN30Y9,,TIKEH 4X AR,TIKEH 4X AR,,Mtge,
BBG01QPVMVH4,,TRNTE 8X A,TRNTE 8X A,,Mtge,
BBG01Q8C3039,,VOYE 8X A,VOYE 8X A,,Mtge,
